basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean
GB000215,33023,Lea Brook at Beck Bridge,GB,GB_NRFA,Lea Brook at Beck Bridge,0.44,52.33,0.44,52.33,3.9,131.89,131.896,0,-0.0045492455834409,1962-12-01,2021-09-30,60,706,21489,21489,0.0,0.0,21489.0,0.0,B,,992,1,['GB000215'],0.156,0.101,1.989,4.174,0.676,160.086,25.774,0.01,0.544,10.64,2.587,107.863,40.165,0.0,1.524,1.921,1.26,0.073,0.017,17.049,1.179,1.0,243.074,4.371,3.0,134.173,66.587,5.387,1.648,87.422,0.0,0.543,0.202,8,13.785,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.259,130.0,30.0,42.745,56.348,18.319,25.333,9.785,1.469,1.046,0.093,0.578,0.013999999999999999,0.738,0.21100000000000002,0.022,0.0,0.9490000000000001,0.0,0.0,0.0,0.0,0.0,1.569,7.935,9.601,3.0
ES000495,9187,ERLA                               ,ES,ES_CEDEX,,-0.94606377,42.11620541,-0.946063771730307,42.11620541415296,424,336.0,262.222,2,21.957738095238103,1978-10-01,2019-09-30,42,492,14962,7449,13.0,0.0,14962.0,0.0,B,,540,2,"['ES000495', 'ES000583']",0.182,0.107,1.999,4.51,0.482,172.425,43.132,0.002,0.758,22.459,5.027,126.575,10.187,0.018,1.651,2.866,1.736,-0.148,0.014,21.988,1.263,1.0,267.352,5.771,4.0,1451.131,717.883,412.156,10.654,8.346,22.87,0.512,0.2,8,3.711,0.0,0.0,97.323,2.677,2.677,0.0,0.0,97.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.342,150.0,30.0,57.03,27.114,34.719,38.167,15.027,1.301,1.228,0.133,0.593,0.002,0.114,0.047,0.6930000000000001,0.144,0.161,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0
CH000176,2603,Langnau,CH,CH_CAMELS,Ilfis,7.8,46.94,7.8,46.94,688,187.4,187.493,0,-0.0496264674493005,1989-04-01,2020-12-31,32,381,11598,11598,0.0,0.0,11598.0,0.0,B,,1,1,['CH000176'],2.391,0.715,1.138,2.054,0.57,195.129,32.234,0.568,6.676,3.055,1.47,10.644,6.377,0.0,3.447,1.897,0.55,0.165,0.148,14.749,1.159,4.0,212.532,3.781,1.0,2050.277,1038.712,683.962,17.318,3.441,60.551,0.704,0.104,9,1.436,0.0,0.0,92.565,7.435,7.435,0.0,86.642,5.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,49.743,49.823,35.828,14.349,4.376,1.485,1.432,0.207,0.61,0.011,0.0,0.424,0.536,0.028,0.424,0.0,0.0,0.0,0.0,0.0,16.472,0.0,0.0,0.0
DEBB0061,5869502,"Kienbaum, Sportschule UP",DE,DE_BB,Lichtenower Mühlenfließ,13.95231453190043,52.46410149069114,13.95231453190043,52.46410149069114,,96.90485158,97.08,0,-0.1807426740191547,1986-11-01,2018-10-31,33,369,11230,7336,458.0,0.0,11230.0,0.0,B,,48,3,"['DEBB0040', 'DEBB0061', 'DEBB0074']",0.1,0.064,-0.222,4.811,0.646,150.536,26.388,0.001,0.299,3.317,3.778,113.088,34.088,0.028,1.507,2.072,1.375,0.223,0.058,18.641,1.169,4.0,251.786,4.482,3.0,124.269,66.143,34.684,1.146,94.103,0.0,0.514,0.223,11,39.967,0.0,0.0,40.265,58.748,58.748,0.0,40.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,44.638,78.687,14.172,7.141,3.798,1.643,1.28,0.125,0.543,0.065,0.665,0.047,0.20600000000000002,0.004,0.7120000000000001,0.0,0.0,5.0,1.2,3.03,4.792,0.0,0.0,6.0
SE000169,2283,LILLÄNGET,SE,SE_SMHI,ÅBYÄLVEN,21.2884,65.0384,21.2884,65.0384,,1324.1,1321.499,0,0.1964353145532728,1980-05-16,2023-04-10,44,516,15669,15576,1.0,15353.0,0.0,316.0,A,,1931,1,['SE000169'],1.069,0.648,1.3,2.74,0.605,225.905,12.708,0.198,3.733,8.811,5.4,24.919,44.542,0.0,1.571,1.326,0.844,0.347,0.366,18.736,1.209,4.0,249.011,4.536,3.0,649.843,304.852,14.704,2.785,70.232,1.032,0.337,0.228,4,12.439,66.837,33.164,0.0,0.0,0.0,0.0,0.0,0.0,33.164,0.0,0.0,0.0,0.0,0.0,44.092,0.0,21.494,1.251,58.094,130.0,30.0,70.301,46.079,35.778,18.144,9.824,0.914,11.18,0.445,0.405,0.0,0.005,0.006,0.6090000000000001,0.223,0.011,0.0,0.0,99.0,62.62,470.0,30.903,0.0,0.094,9.0
DESH1426,114124,Naherfurth,DE,DE_SH,Alster,10.12437011793414,53.77180840602334,10.12437011793414,53.77180840602333,21.593 m NHN,77.1,85.642,2,-11.079118028534374,1984-11-01,2023-01-10,40,456,13423,9202,527.0,0.0,13423.0,0.0,B,,125,1,['DESH1426'],0.827,0.369,0.989,2.684,0.53,132.08,22.798,0.09,2.904,6.993,3.725,51.102,14.12,0.0,2.136,1.87,0.875,0.098,0.036,16.124,1.18,4.0,222.465,3.988,3.0,90.441,36.679,20.02,0.994,97.404,0.0,0.611,0.102,11,40.088,0.0,0.0,37.635,62.365,55.154,7.211,37.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.674,130.0,30.0,60.417,58.535,24.465,17.0,6.86,1.258,9.739,0.167,0.623,0.102,0.373,0.43400000000000005,0.056999999999999995,0.0,0.807,0.0,0.0,2.0,0.31,0.6,5.487,1.459,3.06,12.0
GB000555,69023,Roch at Blackford Bridge,GB,GB_NRFA,Roch at Blackford Bridge,-2.29,53.57,-2.29,53.57,62.9,190.45,190.598,0,-0.0777106852192305,1976-01-01,2021-09-30,46,549,16710,16710,0.0,0.0,16710.0,0.0,B,,1133,1,['GB000555'],2.28,0.731,1.135,1.976,0.594,130.822,21.473,0.675,6.618,3.126,1.202,0.022,1.0,0.0,3.01,1.616,0.537,-0.079,0.023,11.082,1.109,1.0,193.251,3.477,3.0,477.332,219.995,66.912,4.829,40.475,1.836,0.75,0.151,11,5.859,0.0,0.0,0.0,100.0,74.073,25.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.681,130.0,30.0,61.117,45.633,35.92,18.447,4.798,1.27,3.222,0.122,0.557,0.28700000000000003,0.041,0.299,0.012,0.22,0.33999999999999997,16.0,14.0,9.0,1.7,8.39,4.399,0.0,0.109,2.0
FR001166,K731261001,K7312610,FR,FR_EAUFRANCE,L'Indre à Saint-Cyran-du-Jambot,1.127078,47.016872,1.127078,47.016872,85,1712.0,1743.789,0,-1.856834112149532,1968-01-02,2023-09-30,56,669,20275,5464,86.0,16466.0,0.0,3809.0,C,,732,11,"['FR003924', 'FR003925', 'FR003926', 'FR001157', 'FR001158', 'FR001159', 'FR001160', 'FR001161', 'FR001162', 'FR001163', 'FR001164', 'FR001165', 'FR001166']",0.624,0.314,2.185,2.853,0.654,146.327,23.516,0.088,1.952,6.117,4.39,47.812,14.204,0.0,2.001,2.407,1.202,-0.035,0.012,17.647,1.168,1.0,234.357,4.396,4.0,501.855,199.57,78.844,1.838,83.139,0.01,0.441,0.182,8,1.157,2.557,17.692,62.848,16.903,7.551,9.352,5.341,57.507,17.692,0.0,0.0,0.0,0.0,0.0,2.557,0.0,0.0,0.0,104.392,130.0,30.0,49.373,43.837,31.826,24.338,8.496,1.392,1.678,0.148,0.605,0.038,0.477,0.355,0.11900000000000001,0.008,0.832,0.0,0.0,2.0,0.28,0.43,0.901,48.105,75.056,9.0
GB000602,78006,Annan at Woodfoot,GB,GB_NRFA,Annan at Woodfoot,-3.42,55.29,-3.42,55.29,82.3,218.03,218.129,0,-0.0454065954226434,1983-12-01,2021-09-30,39,454,13819,13819,0.0,0.0,13819.0,0.0,B,,1161,1,['GB000602'],3.658,0.828,1.091,2.813,0.502,122.946,23.289,0.442,12.105,5.63,1.291,53.549,9.085,0.0,4.06,1.515,0.373,-0.157,0.051,10.002,1.122,2.0,173.065,3.161,3.0,820.561,353.844,85.053,11.121,10.915,24.533,0.656,0.175,10,1.347,5.26,0.0,0.0,94.455,0.0,94.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,4.723,97.926,130.0,50.0,47.244,64.682,21.327,13.991,5.35,1.494,3.018,0.147,0.594,0.031,0.011,0.11,0.326,0.504,0.121,0.0,0.0,1.0,0.17,1.18,7.807,0.245,0.0,2.0
DEBW0198,Oberambringen MÃ¶hlin,Oberambringen Möhlin,DE,DE_BW,,7.740339153068002,47.91749418071298,7.740339153068,47.91749418071298,241.44,43.0,46.045,0,-7.081395348837213,1956-11-01,2023-10-10,68,804,24444,24023,6.0,0.0,24444.0,0.0,B,,1,1,['DEBW0198'],0.927,0.234,1.372,2.578,0.541,167.281,33.036,0.111,2.875,5.132,2.012,44.985,6.475,0.0,3.983,2.004,0.503,-0.025,0.082,15.647,1.189,1.0,204.899,3.716,1.0,1120.957,504.471,248.794,13.118,10.311,42.725,0.67,0.047,2,1.185,9.466,70.166,16.305,4.064,1.651,2.413,13.28,3.025,70.166,0.0,0.0,0.0,0.0,0.0,8.168,0.0,1.298,0.0,119.362,130.0,30.0,52.191,42.468,37.191,20.34,8.681,1.41,1.469,0.228,0.708,0.036,0.043,0.22599999999999998,0.6859999999999999,0.0,0.26899999999999996,0.0,0.0,0.0,0.0,0.0,4.95,,,27.0
DEBB0136,5874701,"Wenzlow, Forellenanlage",DE,DE_BB,Verlorenwasser,12.44634182245237,52.29623228701701,12.44634182245237,52.29623228701702,,93.69375772,107.769,2,-15.02260409072641,1981-11-01,2023-09-25,43,503,15304,15304,0.0,0.0,15304.0,0.0,B,,49,1,['DEBB0136'],0.151,0.1,0.228,1.055,0.893,162.275,11.345,0.051,0.245,,,5.761,5.333,0.0,1.519,2.081,1.37,0.211,0.058,18.627,1.179,4.0,250.072,4.408,3.0,201.611,100.836,38.081,1.826,83.959,0.0,0.613,0.189,11,21.318,0.0,0.0,5.361,94.639,94.639,0.0,5.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,40.112,79.147,11.771,9.083,6.101,1.511,5.461,0.187,0.658,0.016,0.228,0.024,0.732,0.0,0.252,0.0,0.0,0.0,0.0,0.0,5.036,4.38,0.298,10.0
CZ000284,238000,Stružnice,CZ,CZ_CHMU,Ploučnice,14.4666767160812,50.6914910779193,14.4666767160812,50.6914910779193,,995.05,995.05,0,0.0,1980-11-01,2021-12-31,42,494,15036,15036,0.0,0.0,15036.0,0.0,B,,3,10,"['CZ000275', 'CZ000276', 'CZ000277', 'CZ000278', 'CZ000279', 'CZ000280', 'CZ000281', 'CZ000282', 'CZ000283', 'CZ000284']",0.618,0.333,0.609,1.04,0.785,159.925,20.196,0.284,1.285,0.219,2.25,,,0.0,1.842,2.098,1.139,0.294,0.088,16.586,1.174,4.0,235.812,4.023,3.0,997.083,357.713,233.561,4.768,41.647,3.021,0.647,0.202,10,1.12,2.507,1.095,16.792,75.85300000000001,14.055,61.798,0.0,16.792,0.514,0.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,2.507,86.101,130.0,30.0,47.729,66.759,20.928,12.314,4.949,1.553,1.797,0.155,0.566,0.05,0.172,0.29,0.438,0.033,0.46199999999999997,0.0,0.0,15.0,7.12,38.76,8.61,0.0,0.0,10.0
GB000432,53005,Midford Brook at Midford,GB,GB_NRFA,Midford Brook at Midford,-2.34,51.35,-2.34,51.35,27.4,147.27,147.377,0,-0.0726556664629587,1961-05-01,2021-09-30,61,724,22007,14542,61.0,0.0,22007.0,0.0,B,,1092,2,"['GB000436', 'GB000432']",1.346,0.612,1.254,2.469,0.631,130.746,21.01,0.254,4.172,2.821,1.349,24.049,6.803,0.0,2.224,1.883,0.847,-0.081,0.009,16.07,1.142,1.0,221.833,4.116,4.0,221.807,127.123,32.271,4.08,47.437,0.134,0.691,0.19,8,1.039,0.0,0.0,92.799,7.199999999999999,0.071,7.129,29.039,63.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.054,130.0,30.0,53.347,37.419,35.507,27.074,8.527,1.374,1.13,0.154,0.677,0.09,0.439,0.427,0.034,0.0,0.866,0.0,0.0,0.0,0.0,0.0,1.731,0.382,0.376,1.0
FR003815,K153301001,La Besbre Ã  Saint-Prix,FR,FR_EAUFRANCE,La Besbre à Saint-Prix,3.645737,46.226785,3.645737,46.226785,295,360.0,362.053,0,-0.570277777777777,1959-01-01,2023-09-30,64,751,22683,6575,966.0,22261.0,0.0,422.0,C,,732,4,"['FR003813', 'FR003814', 'FR003815', 'FR000961']",1.412,0.64,1.239,3.152,0.583,144.189,33.393,0.095,4.439,2.765,2.408,71.543,11.554,0.0,2.209,2.323,1.052,0.221,0.023,16.968,1.17,4.0,234.311,4.206,4.0,1275.025,608.385,284.169,8.825,10.69,12.86,0.584,0.168,4,1.217,86.33600000000001,0.0,1.385,12.279,8.169,4.11,1.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.049,0.0,13.593,0.694,63.315,130.0,30.0,41.62,66.652,21.373,11.975,11.912,1.543,1.032,0.225,0.714,0.006,0.011,0.486,0.487,0.009000000000000001,0.497,1.0,1.0,2.0,0.32,1.7,3.081,0.934,2.844,1.0
CZ000481,440000,Božice,CZ,CZ_CHMU,Jevišovka,16.2847088155436,48.8398717263552,16.2847088155436,48.8398717263552,,643.79,643.79,0,0.0,1980-11-01,2021-12-31,42,494,15036,15036,0.0,0.0,15036.0,0.0,B,,2,4,"['CZ000478', 'CZ000479', 'CZ000480', 'CZ000481']",0.109,0.081,3.341,2.987,0.588,174.05,50.521,0.011,0.379,12.316,5.281,67.847,11.4,0.0,1.324,2.248,1.698,0.554,0.074,21.09,1.227,4.0,270.985,4.991,2.0,588.375,349.143,181.372,2.565,70.695,0.143,0.54,0.185,2,3.682,8.761,62.370000000000005,0.061,28.808,28.765,0.043,0.061,0.0,60.923,1.447,0.0,0.0,0.0,0.0,7.752,1.009,0.0,0.0,124.642,130.0,50.0,53.957,40.014,38.241,21.745,6.315,1.401,1.156,0.125,0.513,0.034,0.638,0.051000000000000004,0.261,0.015,0.6890000000000001,3.0,3.0,4.0,0.9,4.41,5.605,118.39,57.051,2.0
GB000017,12008,Feugh at Heugh Head,GB,GB_NRFA,Feugh at Heugh Head,-2.52,57.03,-2.52,57.03,69,232.84,233.008,0,-0.0721525511080597,1985-01-14,2021-09-30,37,441,13405,13268,4.0,0.0,13405.0,0.0,B,,918,2,"['GB000018', 'GB000017']",2.233,1.039,1.599,2.222,0.513,134.222,31.606,0.347,7.121,8.419,1.515,39.781,10.21,0.0,2.074,1.475,0.711,0.04,0.047,11.92,1.177,1.0,206.321,3.274,3.0,772.727,328.397,71.977,8.117,13.63,8.581,0.611,0.192,4,1.117,81.686,17.732,0.582,0.0,0.0,0.0,0.0,0.582,17.732,0.0,0.0,0.0,0.0,0.0,80.013,0.0,1.462,0.211,85.949,130.0,30.0,70.455,55.127,24.127,20.747,3.443,1.071,14.352,0.156,0.605,0.0,0.02,0.08,0.197,0.604,0.1,0.0,0.0,0.0,0.0,0.0,9.772,0.327,0.0,1.0
DESN1548,564400,Chemnitz 1,DE,DE_SN,Zwickauer Mulde,12.92211956401804,50.84526241025796,12.92211956401804,50.84526241025796,287.20800000000003,402.0,399.101,0,0.7211442786069654,1917-11-01,2023-10-10,99,1152,35042,14223,3653.0,0.0,35042.0,0.0,C,,42,6,"['DESN1529', 'DESN1548', 'DESN1573', 'DESN1578', 'DESN1625', 'DESN1650']",0.888,0.403,1.622,2.378,0.583,164.273,36.739,0.141,2.728,5.183,2.554,32.208,5.805,0.0,2.208,1.938,0.878,0.217,0.1,16.45,1.225,4.0,224.9,3.761,1.0,754.798,445.49,281.961,4.281,39.529,0.689,0.647,0.195,2,1.029,5.452,69.729,24.504,0.314,0.0,0.314,24.504,0.0,69.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187,3.265,126.0,130.0,30.0,51.394,43.7,35.755,20.545,8.56,1.416,1.366,0.146,0.545,0.234,0.41,0.123,0.22000000000000003,0.001,0.5329999999999999,2.0,2.0,1.0,0.14,0.74,9.213,6.457,0.0,35.0
CH000231,4002,Zell,CH,CH_CAMELS,Wiese,7.85,47.7,7.85,47.7,429,206.7,206.748,0,-0.0232220609579108,1983-01-01,2019-05-13,37,437,13282,13282,0.0,0.0,13282.0,0.0,B,,1,1,['CH000231'],3.146,0.811,1.213,2.357,0.579,147.029,27.104,0.519,9.504,3.657,1.985,30.14,7.258,0.0,3.897,2.032,0.521,-0.026,0.078,15.334,1.179,2.0,205.035,3.719,1.0,1493.438,900.242,425.955,17.668,1.943,63.807,0.671,0.108,2,0.835,33.881,64.117,2.002,0.0,0.0,0.0,2.002,0.0,64.117,0.0,0.0,0.0,0.0,0.0,24.769,0.0,0.999,8.113,105.862,130.0,30.0,51.537,43.631,36.34,20.03,8.798,1.415,1.671,0.208,0.634,0.015,0.0,0.288,0.6859999999999999,0.011,0.288,0.0,0.0,0.0,0.0,0.0,12.196,0.0,0.004,31.0
GB000352,41012,Adur E Branch at Sakeham,GB,GB_NRFA,Adur E Branch at Sakeham,-0.27,50.96,-0.27,50.96,3.1,93.62,93.651,0,-0.033112582781448,1967-07-21,2021-09-30,55,648,19637,9604,159.0,0.0,19637.0,0.0,B,,1042,1,['GB000352'],1.263,0.603,1.551,2.952,0.426,120.981,27.187,0.149,5.074,23.883,2.233,104.607,8.885,0.0,2.101,1.845,0.878,-0.125,0.008,17.866,1.19,1.0,234.324,4.367,4.0,234.103,51.68,4.927,2.327,77.668,0.813,0.643,0.147,10,10.828,0.0,0.0,2.386,97.614,0.0,97.614,0.0,2.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.258,130.0,30.0,55.858,39.194,35.613,25.194,5.14,1.395,1.073,0.136,0.663,0.14300000000000002,0.312,0.437,0.082,0.0,0.749,0.0,0.0,0.0,0.0,0.0,1.069,0.0,0.188,0.0
DETH2100,5744010000,Geraberg,DE,DE_TH,ZahmeGera,10.83,50.712,10.83,50.712,,18.5,18.0,0,2.702702702702702,1960-11-01,2021-12-31,62,734,22341,22341,0.0,0.0,22341.0,0.0,B,,63,1,['DETH2100'],1.723,0.633,0.46,2.2,0.59,154.1,31.255,0.24,5.616,5.264,2.927,39.973,12.603,0.0,2.696,1.794,0.666,-0.045,0.138,15.77,1.188,2.0,208.314,3.686,3.0,944.682,687.264,447.584,12.699,4.908,34.226,0.604,0.0,9,0.857,73.982,3.0,23.017,0.0,0.0,0.0,23.017,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.388,15.594,117.5,130.0,30.0,40.717,79.25,12.875,7.875,7.812,1.632,1.399,0.197,0.658,0.02,0.0,0.031,0.9490000000000001,0.0,0.031,0.0,0.0,0.0,0.0,0.0,13.815,,,20.0
FR001893,P177000101,P1772910,FR,FR_EAUFRANCE,La Cère à Sansac-de-Marmiesse,2.350606,44.88209,2.350606,44.88209,554,350.0,349.494,0,0.1445714285714205,1969-01-01,2021-08-31,53,632,19236,19236,0.0,9621.0,9326.0,289.0,B,,541,4,"['FR001889', 'FR001890', 'FR001891', 'FR001892', 'FR001893']",2.853,0.809,1.143,3.193,0.527,137.275,24.884,0.212,9.394,6.0,1.951,78.819,13.39,0.0,3.31,2.181,0.659,-0.1,0.051,16.777,1.208,1.0,221.825,4.258,4.0,1816.942,912.932,556.073,12.411,13.531,36.376,0.552,0.229,10,1.97,64.808,13.429,7.077,14.686,0.0,14.686,7.077,0.0,13.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.808,118.481,130.0,30.0,62.7,37.966,42.063,19.971,6.149,1.01,4.571,0.187,0.641,0.062000000000000006,0.0,0.544,0.265,0.128,0.544,0.0,0.0,0.0,0.0,0.0,5.888,7.747,4.439,3.0
SE000224,2407,SVÄRDSJÖ,SE,SE_SMHI,HÖKVIKSÅN,15.9206,60.7432,15.9206,60.7432,,1847.3,1848.127,0,-0.0447680398419313,1988-07-14,2023-04-10,31,350,10602,6912,2087.0,10505.0,0.0,97.0,D,,1887,1,['SE000224'],0.764,0.459,1.347,1.703,0.824,152.333,27.179,0.204,1.435,,,4.754,11.5,0.0,1.661,1.581,0.952,0.375,0.244,18.872,1.176,4.0,247.215,4.361,3.0,501.425,288.968,136.149,3.486,52.89,0.624,0.486,0.175,4,3.586,99.84200000000001,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,75.042,0.641,24.159,0.0,55.798,130.0,0.0,69.691,47.43,35.246,16.455,11.929,0.912,8.774,0.138,0.518,0.001,0.008,0.002,0.737,0.137,0.01,0.0,0.0,102.0,159.77,1763.47,23.107,0.0,0.552,17.0
DEHE1016,24810600,unter-schmitten,DE,DE_HE,Nidda,9.02442652499838,50.43586410179353,9.02442652499838,50.43586410179353,132.30000000000001,124.0,127.71,0,-2.991935483870962,1966-11-01,2023-11-01,58,685,20820,20820,0.0,0.0,20820.0,0.0,B,,1,6,"['DEHE0932', 'DEHE0999', 'DEHE1006', 'DEHE1007', 'DEHE1015', 'DEHE1016']",0.981,0.442,1.462,2.115,0.625,140.364,26.945,0.266,3.044,5.259,2.224,1.447,4.556,0.0,2.225,2.016,0.906,0.078,0.05,17.049,1.15,4.0,228.737,4.101,3.0,764.381,347.442,134.822,5.983,19.152,0.833,0.495,0.142,9,1.064,83.39,0.0,16.22,0.202,0.202,0.0,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,83.222,100.687,130.0,30.0,53.485,41.092,38.023,20.885,6.817,1.409,1.092,0.181,0.618,0.051,0.137,0.42800000000000005,0.371,0.005,0.5650000000000001,1.0,1.0,1.0,0.43,2.46,4.955,1.469,0.03,23.0
FR001681,O359402002,O3594020,FR,FR_EAUFRANCE,Le Dourdou [de Camarès] à Vabres-l'Abbaye,2.829956,43.956343,2.829956,43.956343,,658.0,679.586,0,-3.280547112462008,1988-01-01,2023-09-30,36,428,13006,11596,51.0,10208.0,1247.0,1551.0,C,,541,21,"['FR004188', 'FR004189', 'FR004190', 'FR001662', 'FR001663', 'FR001664', 'FR001665', 'FR001666', 'FR001667', 'FR001668', 'FR001669', 'FR001670', 'FR001671', 'FR001672', 'FR001673', 'FR001674', 'FR001675', 'FR001676', 'FR001677', 'FR001678', 'FR001679', 'FR001681']",1.313,0.531,1.15,2.612,0.552,143.912,40.114,0.202,4.272,11.342,2.475,43.867,14.229,0.0,2.427,2.358,0.971,-0.2,0.019,19.648,1.293,1.0,256.276,5.091,4.0,1171.333,605.936,301.442,11.527,12.767,30.533,0.561,0.192,10,1.14,2.4290000000000003,6.504,45.305,45.762,0.0,45.762,13.786,31.519,6.504,0.0,0.0,0.0,0.0,0.0,0.081,0.0,2.035,0.313,60.471,130.0,30.0,44.982,50.3,31.094,18.606,14.609,1.452,1.333,0.17,0.655,0.01,0.112,0.31799999999999995,0.434,0.126,0.42999999999999994,0.0,0.0,0.0,0.0,0.0,0.896,10.228,4.363,9.0
DK000232,22000050, HVODAL,DK,DK_ODA,RÅSTED LILLE Å,8.4052394,56.32476604,8.405239400859381,56.32476604346358,,83.08294,83.374,0,-0.3503246274144868,1975-01-01,2022-12-31,48,576,17532,17532,0.0,17532.0,0.0,0.0,A,,267,2,"['DK000224', 'DK000232']",1.88,0.856,0.508,0.664,0.888,161.936,7.191,1.22,2.923,,,,,0.0,2.128,1.48,0.696,0.085,0.043,14.994,1.131,1.0,223.104,4.135,3.0,115.634,50.448,5.324,1.756,87.998,0.0,0.468,0.24,11,23.37,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,42.16,70.082,16.471,13.447,2.788,1.363,9.128,0.151,0.597,0.008,0.41,0.127,0.205,0.172,0.5369999999999999,0.0,0.0,0.0,0.0,0.0,6.821,7.907,8.115,1.0
GB000588,75003,Derwent at Ouse Bridge,GB,GB_NRFA,Derwent at Ouse Bridge,-3.24,54.68,-3.24,54.68,67.7,363.04,363.265,0,-0.061976641692366,1968-03-01,2021-09-30,54,643,19565,16703,7.0,0.0,19565.0,0.0,B,,1154,1,['GB000588'],4.125,1.008,1.062,2.787,0.549,120.135,22.423,0.483,12.596,1.549,2.515,49.173,16.885,0.0,3.934,1.574,0.4,-0.166,0.031,9.771,1.124,1.0,178.331,3.331,3.0,942.626,334.714,64.655,13.183,17.691,38.382,0.615,0.148,9,1.805,4.671,25.874,57.338,0.264,0.0,0.264,56.539,0.799,0.0,0.0,25.874,0.0,0.0,0.0,0.814,0.0,2.849,1.008,62.306,130.0,0.0,47.981,41.533,27.494,17.917,5.561,1.088,4.559,0.133,0.573,0.005,0.0,0.209,0.106,0.603,0.209,1.0,1.0,3.0,12.88,157.03,7.093,0.0,0.069,3.0
GB000384,43021,Avon at Knapp Mill,GB,GB_NRFA,Avon at Knapp Mill,-1.78,50.75,-1.78,50.75,0.9,1712.31,1713.601,0,-0.0753952263316903,1975-01-01,2021-09-30,47,561,17028,7035,47.0,0.0,17028.0,0.0,B,,1054,6,"['GB000376', 'GB000377', 'GB000379', 'GB000381', 'GB000382', 'GB000384']",1.011,0.487,1.339,2.029,0.769,150.023,20.054,0.319,2.692,0.086,4.0,1.888,22.0,0.0,2.091,1.929,0.923,-0.133,0.012,16.192,1.158,1.0,226.342,4.373,4.0,294.76,120.842,-0.406,3.316,57.66,0.724,0.568,0.195,8,2.421,0.0,0.0,86.574,13.426,0.0,13.426,3.202,83.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.051,130.0,30.0,50.185,41.337,37.463,21.2,9.713,1.41,1.332,0.129,0.625,0.034,0.469,0.249,0.060000000000000005,0.174,0.718,0.0,0.0,4.0,1.01,1.96,1.298,3.22,3.957,7.0
